"GroupName","MemberOf"
"Distributed COM Users",""
"Domain Guests","ReuseGroup.local/Builtin/Guests"
"Incoming Forest Trust Builders",""
"Network Configuration Operators",""
"Domain Users","ReuseGroup.local/URM/URM Security Groups/URM-SHEQ (RO),ReuseGroup.local/URM/URM Security Groups/HSEQ access,ReuseGroup.local/Builtin/Users"
"Windows Authorization Access Group",""
"Guests",""
"Performance Monitor Users",""
"Users",""
"Cryptographic Operators",""
"IIS_IUSRS",""
"Allowed RODC Password Replication Group",""
"Denied RODC Password Replication Group",""
"Event Log Readers",""
"Performance Log Users",""
"Enterprise Read-only Domain Controllers",""
"Certificate Service DCOM Access",""
"RDS Remote Access Servers",""
"RDS Endpoint Servers",""
"RDS Management Servers",""
"Hyper-V Administrators",""
"Cloneable Domain Controllers",""
"Remote Management Users",""
"Read-only Domain Controllers","ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Server Operators",""
"Account Operators",""
"Replicator",""
"Backup Operators",""
"Print Operators",""
"RAS and IAS Servers",""
"Administrators",""
"Enterprise Admins","ReuseGroup.local/Users/EMLibrary Users,ReuseGroup.local/Builtin/Administrators,ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Domain Admins","ReuseGroup.local/URM/URM Security Groups/URM-PRODUCTION-FULL CONTROL,ReuseGroup.local/Users/EMLibrary Users,ReuseGroup.local/URM/URM Security Groups/URM-Production (All Sites),ReuseGroup.local/URM/URM Security Groups/URM-Production-Managers (DN),ReuseGroup.local/Builtin/Remote Desktop Users,ReuseGroup.local/Builtin/Administrators,ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Remote Desktop Users",""
"Access Control Assistance Operators",""
"Terminal Server License Servers",""
"Domain Computers",""
"Domain Controllers","ReuseGroup.local/Users/DnsAdmins,ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Group Policy Creator Owners","ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Schema Admins","ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Cert Publishers","ReuseGroup.local/Users/Denied RODC Password Replication Group"
"Pre-Windows 2000 Compatible Access",""
